Moviepy - Building video output.mp4.
Moviepy - Writing video output.mp4

Moviepy - Done !
Moviepy - video ready output.mp4
         236133 function calls (232086 primitive calls) in 9.239 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 decorators.py:132(<dictcomp>)
     2598    0.008    0.000    0.009    0.000 tools.py:60(is_string)
        1    0.000    0.000    0.000    0.000 tools.py:95(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
        2    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        5    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        2    0.000    0.000    0.000    0.000 __init__.py:283(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:806(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        2    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1479(warning)
        2    0.000    0.000    0.000    0.000 __init__.py:1549(findCaller)
        2    0.000    0.000    0.000    0.000 __init__.py:1585(makeRecord)
        2    0.000    0.000    0.000    0.000 __init__.py:1600(_log)
        2    0.000    0.000    0.000    0.000 __init__.py:1626(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:1636(addHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1680(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        2    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:2213(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:2219(createLock)
        2    0.000    0.000    0.000    0.000 __init__.py:2229(_showwarning)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1298    0.948    0.001    0.948    0.001 {Canny}
     1298    0.313    0.000    0.313    0.000 {GaussianBlur}
     1298    1.472    0.001    1.472    0.001 {HoughLinesP}
     1298    0.646    0.000    0.646    0.000 {addWeighted}
     1298    0.118    0.000    0.118    0.000 {bitwise_and}
     1298    0.472    0.000    0.472    0.000 {cvtColor}
